Offset,Register name,Read/Write permissions
000h - 010h,Reserved,
020h,LAPIC ID Register,Read/Write
030h,LAPIC Version Register,Read only
040h - 070h,Reserved,
080h,Task Priority Register (TPR),Read/Write
090h,Arbitration Priority Register (APR),Read only
0A0h,Processor Priority Register (PPR),Read only
0B0h,EOI register,Write only
0C0h,Remote Read Register (RRD),Read only
0D0h,Logical Destination Register,Read/Write
0E0h,Destination Format Register,Read/Write
0F0h,Spurious Interrupt Vector Register,Read/Write
100h - 170h,In-Service Register (ISR),Read only
180h - 1F0h,Trigger Mode Register (TMR),Read only
200h - 270h,Interrupt Request Register (IRR),Read only
280h,Error Status Register,Read only
290h - 2E0h,Reserved,
2F0h,LVT Corrected Machine Check Interrupt (CMCI) Register,Read/Write
300h - 310h,Interrupt Command Register (ICR),Read/Write
320h,LVT Timer Register,Read/Write
330h,LVT Thermal Sensor Register,Read/Write
340h,LVT Performance Monitoring Counters Register,Read/Write
350h,LVT LINT0 Register,Read/Write
360h,LVT LINT1 Register,Read/Write
370h,LVT Error Register,Read/Write
380h,Initial Count Register (for Timer),Read/Write
390h,Current Count Register (for Timer),Read only
3A0h - 3D0h,Reserved,
3E0h,Divide Configuration Register (for Timer),Read/Write
3F0h,Reserved 
